Iteración;Tiempo (s);Memoria (KB);Profundidad
1;0.009807;5.546875;15
2;0.021090;5.359375;15
3;0.002372;3.859375;11
4;0.006721;4.484375;13
5;0.018259;5.109375;15
6;0.014958;5.109375;15
7;0.005442;4.484375;13
8;0.033216;5.109375;15
9;0.019479;5.109375;15
10;0.010600;5.109375;15
11;0.015445;5.109375;15
12;0.012057;5.109375;15
13;0.004796;4.484375;13
14;0.018252;5.109375;15
15;0.002823;3.859375;11
16;0.022078;5.109375;15
17;0.017720;5.109375;15
18;0.021200;5.109375;15
19;0.016055;5.109375;15
20;0.016254;5.109375;15
;;;
